$Date,$Time,FE1_AIRFLOW,FE1_BATCHTIME,FE1_BLUELIGHT,FE1_CO2FLOW,FE1_DO,FE1_FEEDRATEA,FE1_FEEDRATEB,FE1_LEVEL,FE1_OD,FE1_PH,FE1_REDLIGHT,FE1_STIRRERSPEED,FE1_SUMACID,FE1_SUMBASE,FE1_TEMPERATURE
12/12/18,09:38:00 AM,1000,0.003055556,3193.487,16.01382,69.04881,0,0,2.832118,16.14786,7.286197,8969.826,148.2511,0,0,29.94144
12/12/18,09:39:00 AM,1000,0.01888889,3223.767,16.01382,69.26324,0,0,26.34968,15.75113,7.286197,9020.133,148.2511,0,0,29.83235
12/12/18,09:40:00 AM,1000,0.0375,3243.835,16.01993,69.26324,0,0,1.440474,15.47646,7.286197,9080.718,148.2511,0,0,29.83235
12/12/18,09:41:00 AM,1000,0.05305556,3263.982,16.00772,69.26324,0,0,16.48305,15.35439,7.286197,9131.115,148.2511,0,0,29.83235
12/12/18,09:42:00 AM,1000,0.06861111,3294.223,16.01382,69.46571,0,0,5.73748,15.75113,7.286197,9191.882,148.2511,0,0,29.83235
12/12/18,09:43:00 AM,1000,0.08722222,3314.41,16.01382,69.46571,0,0,15.84826,15.35439,7.306549,9242.188,148.2511,0,0,29.83235
12/12/18,09:44:00 AM,1000,0.1027778,3344.571,16.01382,69.46571,0,0,9.887997,14.59144,7.306549,9292.585,148.2511,0,0,29.83235
12/12/18,09:45:00 AM,1000,0.1183333,3364.719,16.01993,69.46571,0,0,2.49031,14.80507,7.306549,9353.171,148.2511,0,0,29.83235
12/12/18,09:46:00 AM,1000,0.1372222,3384.906,16.01993,69.88216,0,0,1.855525,15.41543,7.306549,9404.022,148.2511,0,0,29.83235
12/12/18,09:47:00 AM,1000,0.1525,3415.146,16.00772,70.08583,0,0,15.23789,16.30045,7.306549,9464.791,148.2511,0,0,29.83235
12/12/18,09:48:00 AM,1000,0.1711111,3435.293,16.01382,70.08583,0,0,3.711051,16.97185,7.306549,9515.369,148.2511,0,0,29.83235
