Sequence	Name	Start	End	strand	Sample	TotalReadsORF	Reads	RPM	Length	RPKM
NC_000911.1	sll0558	2172	2873	-	A2	1786561.0000003	127.000000000048	71.0862937229831	702	101.262526670916
NC_000911.1	sll0558	2172	2873	-	A1	23225586.9999991	1542.99999999977	66.4353499440007	702	94.6372506324797
NC_000911.1	sll0558	2172	2873	-	B2	23262593.9999945	2118.99999999864	91.0904433099393	702	129.758466253475
NC_000911.1	sll0558	2172	2873	-	C2	26276030.9999999	1521.00000000015	57.8854546183232	702	82.457912561714
NC_000911.1	sll0558	2172	2873	-	E1	29745870.9999964	1270.99999999964	42.7286193771161	702	60.8669791696811
NC_000911.1	sll0558	2172	2873	-	D2	37426642.9999964	2006.99999999971	53.6249003149949	702	76.3887468874572
NC_000911.1	sll0558	2172	2873	-	D1	48998966.0000005	2263.9999999997	46.2050566536378	702	65.8191690222761
NC_000911.1	sll0558	2172	2873	-	B1	52337588.0000009	3976.99999999964	75.9874528417239	702	108.24423481727
NC_000911.1	sll0558	2172	2873	-	C1	62053964.0000001	3419.00000000013	55.0972053936816	702	78.486047569347
NC_000911.1	sll1214	3192	4268	-	A2	1786561.0000003	2740.00000000037	1533.67279370808	1077	1424.02302108457
NC_000911.1	sll1214	3192	4268	-	A1	23225586.9999991	31396.9999999991	1351.82805067533	1077	1255.17924853791
NC_000911.1	sll1214	3192	4268	-	B2	23262593.9999945	40019.999999988	1720.35844325862	1077	1597.36160005443
NC_000911.1	sll1214	3192	4268	-	C2	26276030.9999999	70690.0000000012	2690.28454107097	1077	2497.94293507054
NC_000911.1	sll1214	3192	4268	-	E1	29745870.9999964	43719.0000000058	1469.75020499521	1077	1364.67057102619
NC_000911.1	sll1214	3192	4268	-	D2	37426642.9999964	84346.9999999953	2253.6619167261	1077	2092.53659863148
NC_000911.1	sll1214	3192	4268	-	D1	48998966.0000005	94708.9999999931	1932.87752235409	1077	1794.68665028234
NC_000911.1	sll1214	3192	4268	-	B1	52337588.0000009	84661.9999999802	1617.61371196507	1077	1501.96259235383
NC_000911.1	sll1214	3192	4268	-	C1	62053964.0000001	140641.000000003	2266.43055389666	1077	2104.39234345093
NC_000911.1	sll1213	4451	5389	-	A2	1786561.0000003	390.000000000232	218.296492535192	939	232.477627833006
NC_000911.1	sll1213	4451	5389	-	A1	23225586.9999991	4759.9999999995	204.946380903083	939	218.260256552804
NC_000911.1	sll1213	4451	5389	-	B2	23262593.9999945	11039.9999999959	474.581639519585	939	505.411756676874
NC_000911.1	sll1213	4451	5389	-	C2	26276030.9999999	8196.00000000107	311.919254471921	939	332.182379629309
NC_000911.1	sll1213	4451	5389	-	E1	29745870.9999964	4347.99999999938	146.171547641012	939	155.667249883932
NC_000911.1	sll1213	4451	5389	-	D2	37426642.9999964	10033.9999999983	268.09778264108	939	285.514145517657
NC_000911.1	sll1213	4451	5389	-	D1	48998966.0000005	12758.9999999997	260.393249931021	939	277.30910535785
NC_000911.1	sll1213	4451	5389	-	B1	52337588.0000009	24302.9999999972	464.350783608843	939	494.516276473741
NC_000911.1	sll1213	4451	5389	-	C1	62053964.0000001	18568.0000000029	299.223430754607	939	318.661800590636
NC_000911.1	sll1212	5534	6622	-	A2	1786561.0000003	352.000000000132	197.026577877874	1089	180.924313937442
NC_000911.1	sll1212	5534	6622	-	A1	23225586.9999991	4067.99999999897	175.151654939835	1089	160.837148705083
NC_000911.1	sll1212	5534	6622	-	B2	23262593.9999945	19524.9999999911	839.3302999655	1089	770.73489436685
NC_000911.1	sll1212	5534	6622	-	C2	26276030.9999999	12263.0000000012	466.699099266598	1089	428.557483256747
NC_000911.1	sll1212	5534	6622	-	E1	29745870.9999964	3703.99999999823	124.521484006929	1089	114.344797067887
NC_000911.1	sll1212	5534	6622	-	D2	37426642.9999964	14132.9999999949	377.618692651551	1089	346.757293527595
NC_000911.1	sll1212	5534	6622	-	D1	48998966.0000005	18335.0000000019	374.191569675199	1089	343.610256818364
NC_000911.1	sll1212	5534	6622	-	B1	52337588.0000009	39769.0000000015	759.855421690445	1089	697.755208163862
NC_000911.1	sll1212	5534	6622	-	C1	62053964.0000001	25995.999999994	418.925695061059	1089	384.688425216767
NC_000911.1	sll1209	10622	12631	-	A2	1786561.0000003	69.0000000000259	38.6216871408333	2010	19.2147697218076
NC_000911.1	sll1209	10622	12631	-	A1	23225586.9999991	965.999999999913	41.5920596538615	2010	20.6925669919709
NC_000911.1	sll1209	10622	12631	-	B2	23262593.9999945	1339.99999999888	57.60320624601	2010	28.6583115651791
NC_000911.1	sll1209	10622	12631	-	C2	26276030.9999999	1051.99999999977	40.0364880068751	2010	19.9186507496891
NC_000911.1	sll1209	10622	12631	-	E1	29745870.9999964	928.99999999968	31.2312253354354	2010	15.5379230524554
NC_000911.1	sll1209	10622	12631	-	D2	37426642.9999964	1422.00000000022	37.9943239900078	2010	18.9026487512477
NC_000911.1	sll1209	10622	12631	-	D1	48998966.0000005	2180.0000000005	44.4907347636781	2010	22.1346939122777
NC_000911.1	sll1209	10622	12631	-	B1	52337588.0000009	3261.9999999995	62.3261431153352	2010	31.0080314006643
NC_000911.1	sll1209	10622	12631	-	C1	62053964.0000001	2435.99999999999	39.2561545302728	2010	19.5304251394392
NC_000911.1	sll1206	17853	20408	-	A2	1786561.0000003	42.0000000000158	23.5088530422464	2556	9.1975168396895
NC_000911.1	sll1206	17853	20408	-	A1	23225586.9999991	412.999999999985	17.7821124607099	2556	6.95700800497257
NC_000911.1	sll1206	17853	20408	-	B2	23262593.9999945	1132.00000000005	48.6618130377169	2556	19.0382680116263
NC_000911.1	sll1206	17853	20408	-	C2	26276030.9999999	961.999999998727	36.611313177349	2556	14.3236749520145
NC_000911.1	sll1206	17853	20408	-	E1	29745870.9999964	560.000000000012	18.8261422904738	2556	7.3654703796846
NC_000911.1	sll1206	17853	20408	-	D2	37426642.9999964	637.999999999929	17.0466798211101	2556	6.66928005520738
NC_000911.1	sll1206	17853	20408	-	D1	48998966.0000005	1084.00000000036	22.1229158182715	2556	8.65528787882296
NC_000911.1	sll1206	17853	20408	-	B1	52337588.0000009	2974.99999999682	56.8425124978395	2556	22.2388546548668
NC_000911.1	sll1206	17853	20408	-	C1	62053964.0000001	966.999999999961	15.583210767969	2556	6.09671782784388
NC_000911.1	sll1205	20615	21595	-	A2	1786561.0000003	16.000000000006	8.95575353990338	981	9.12920850143056
NC_000911.1	sll1205	20615	21595	-	A1	23225586.9999991	247.999999999964	10.6778786688997	981	10.8846877358814
NC_000911.1	sll1205	20615	21595	-	B2	23262593.9999945	769.999999999232	33.1003498577765	981	33.7414371638904
NC_000911.1	sll1205	20615	21595	-	C2	26276030.9999999	371.999999999855	14.1573892952043	981	14.4315894956211
NC_000911.1	sll1205	20615	21595	-	E1	29745870.9999964	194.999999999947	6.55553169043094	981	6.68249917475122
NC_000911.1	sll1205	20615	21595	-	D2	37426642.9999964	629.000000000066	16.8062094161137	981	17.1317119430313
NC_000911.1	sll1205	20615	21595	-	D1	48998966.0000005	804.99999999998	16.4289181122714	981	16.747113264293
NC_000911.1	sll1205	20615	21595	-	B1	52337588.0000009	1448.99999999993	27.6856472636818	981	28.2218626541099
NC_000911.1	sll1205	20615	21595	-	C1	62053964.0000001	745.000000000035	12.0056794437827	981	12.2382053453443
NC_000911.1	sll1204	21838	23121	-	A2	1786561.0000003	18.0000000000068	10.0752227323913	1284	7.84674667631721
NC_000911.1	sll1204	21838	23121	-	A1	23225586.9999991	227.999999999989	9.81675942140871	1284	7.64545126277937
NC_000911.1	sll1204	21838	23121	-	B2	23262593.9999945	310.999999999711	13.3691023451548	1284	10.4120734775349
NC_000911.1	sll1204	21838	23121	-	C2	26276030.9999999	172.999999999964	6.58394717223331	1284	5.12768471357735
NC_000911.1	sll1204	21838	23121	-	E1	29745870.9999964	258.999999999903	8.70709080934071	1284	6.78122337176067
NC_000911.1	sll1204	21838	23121	-	D2	37426642.9999964	242.000000000065	6.46598200111318	1284	5.03581152734671
NC_000911.1	sll1204	21838	23121	-	D1	48998966.0000005	421.000000000056	8.59201804381039	1284	6.69160283785856
NC_000911.1	sll1204	21838	23121	-	B1	52337588.0000009	593.999999999832	11.3493957726868	1284	8.8390932809087
NC_000911.1	sll1204	21838	23121	-	C1	62053964.0000001	530.999999999745	8.55706816730909	1284	6.66438330787312
NC_000911.1	sll1203	23139	24104	-	A2	1786561.0000003	18.0000000000068	10.0752227323913	966	10.4298371970924
NC_000911.1	sll1203	23139	24104	-	A1	23225586.9999991	285.000000000005	12.2709492767617	966	12.7028460421964
NC_000911.1	sll1203	23139	24104	-	B2	23262593.9999945	445.999999999571	19.1724104371024	966	19.8472157733979
NC_000911.1	sll1203	23139	24104	-	C2	26276030.9999999	353.999999999876	13.4723543293078	966	13.9465365727824
NC_000911.1	sll1203	23139	24104	-	E1	29745870.9999964	323.999999999876	10.892268039484	966	11.2756397924265
NC_000911.1	sll1203	23139	24104	-	D2	37426642.9999964	369.000000000035	9.85928660500145	966	10.2063008333348
NC_000911.1	sll1203	23139	24104	-	D1	48998966.0000005	684.000000000051	13.95947824695	966	14.4508056386646
NC_000911.1	sll1203	23139	24104	-	B1	52337588.0000009	1178.00000000015	22.5077242764823	966	23.2999216112654
NC_000911.1	sll1203	23139	24104	-	C1	62053964.0000001	879.999999999888	14.1812052490295	966	14.6803366967179
NC_000911.1	sll1202	24101	25144	-	A2	1786561.0000003	15.0000000000056	8.39601894365942	1044	8.04216373913737
NC_000911.1	sll1202	24101	25144	-	A1	23225586.9999991	233.000000000013	10.0320392332828	1044	9.6092329820716
NC_000911.1	sll1202	24101	25144	-	B2	23262593.9999945	458.999999999751	19.7312475126316	1044	18.8996623684211
NC_000911.1	sll1202	24101	25144	-	C2	26276030.9999999	310.999999999998	11.8358819107802	1044	11.3370516386783
NC_000911.1	sll1202	24101	25144	-	E1	29745870.9999964	203.999999999934	6.85809469152737	1044	6.5690562179381
NC_000911.1	sll1202	24101	25144	-	D2	37426642.9999964	340.000000000083	9.08443752222492	1044	8.70156850787827
NC_000911.1	sll1202	24101	25144	-	D1	48998966.0000005	534.000000000214	10.8981891577101	1044	10.4388785035538
NC_000911.1	sll1202	24101	25144	-	B1	52337588.0000009	850.999999999737	16.2598245834279	1044	15.5745446201417
NC_000911.1	sll1202	24101	25144	-	C1	62053964.0000001	825.999999999975	13.3109949269312	1044	12.7499951407387
NC_000911.1	sll1409	25266	27857	-	A2	1786561.0000003	17.0000000000064	9.51548813614734	2592	3.67109881795808
NC_000911.1	sll1409	25266	27857	-	A1	23225586.9999991	367.000000000004	15.801538191479	2592	6.09627245041629
NC_000911.1	sll1409	25266	27857	-	B2	23262593.9999945	361.999999999652	15.5614631798903	2592	6.00365091816755
NC_000911.1	sll1409	25266	27857	-	C2	26276030.9999999	220.999999999968	8.41070708129278	2592	3.24487155914073
NC_000911.1	sll1409	25266	27857	-	E1	29745870.9999964	301.999999999959	10.1526695923611	2592	3.91692499705289
NC_000911.1	sll1409	25266	27857	-	D2	37426642.9999964	273.000000000153	7.29426895167112	2592	2.81414697209534
NC_000911.1	sll1409	25266	27857	-	D1	48998966.0000005	460.000000000202	9.38795320701661	2592	3.62189552739838
NC_000911.1	sll1409	25266	27857	-	B1	52337588.0000009	693.999999999843	13.260068461692	2592	5.11576715343057
NC_000911.1	sll1409	25266	27857	-	C1	62053964.0000001	579.999999999799	9.34670345958556	2592	3.60598127298825
NC_000911.1	sll1408	27990	29030	-	A2	1786561.0000003	20.0000000000075	11.1946919248792	1041	10.7537866713537
NC_000911.1	sll1408	27990	29030	-	A1	23225586.9999991	153.999999999989	6.63061820568819	1041	6.36946993822113
NC_000911.1	sll1408	27990	29030	-	B2	23262593.9999945	338.999999999855	14.5727514308995	1041	13.9988006060514
NC_000911.1	sll1408	27990	29030	-	C2	26276030.9999999	231.000000000009	8.79128206234836	1041	8.44503560264012
NC_000911.1	sll1408	27990	29030	-	E1	29745870.9999964	319.999999999932	10.757795594554	1041	10.3340975932315
NC_000911.1	sll1408	27990	29030	-	D2	37426642.9999964	315.00000000009	8.41646417500284	1041	8.08497999519965
NC_000911.1	sll1408	27990	29030	-	D1	48998966.0000005	572.000000000089	11.6737157269826	1041	11.2139440220774
NC_000911.1	sll1408	27990	29030	-	B1	52337588.0000009	822.999999999889	15.7248362305094	1041	15.1055103078861
NC_000911.1	sll1408	27990	29030	-	C1	62053964.0000001	562.999999999864	9.07274835818487	1041	8.71541629028326
NC_000911.1	sll1407	29098	29895	-	A2	1786561.0000003	11.0000000000041	6.15708055868357	798	7.71563979784909
NC_000911.1	sll1407	29098	29895	-	A1	23225586.9999991	209.999999999916	9.04175209866275	798	11.3305164143644
NC_000911.1	sll1407	29098	29895	-	B2	23262593.9999945	203.999999999905	8.76944333894805	798	10.9892773671028
NC_000911.1	sll1407	29098	29895	-	C2	26276030.9999999	107.999999999995	4.11020979538329	798	5.15063884133245
NC_000911.1	sll1407	29098	29895	-	E1	29745870.9999964	177.999999999933	5.98402379946967	798	7.49877669106474
NC_000911.1	sll1407	29098	29895	-	D2	37426642.9999964	146.000000000054	3.90096434777942	798	4.88842650097672
NC_000911.1	sll1407	29098	29895	-	D1	48998966.0000005	322.000000000057	6.57156724490989	798	8.23504667281941
NC_000911.1	sll1407	29098	29895	-	B1	52337588.0000009	530.99999999988	10.1456719786145	798	12.7138746599179
NC_000911.1	sll1407	29098	29895	-	C1	62053964.0000001	263.000000000001	4.23824656874459	798	5.3110859257451
NC_000911.1	sll1406	29968	32454	-	A2	1786561.0000003	30.0000000000113	16.7920378873188	2487	6.75192516578964
NC_000911.1	sll1406	29968	32454	-	A1	23225586.9999991	838.000000000108	36.0808964699209	2487	14.5077991435146
NC_000911.1	sll1406	29968	32454	-	B2	23262593.9999945	518.999999999693	22.3104955534974	2487	8.97084662384294
NC_000911.1	sll1406	29968	32454	-	C2	26276030.9999999	393.999999999811	14.9946542535215	2487	6.02921361219199
NC_000911.1	sll1406	29968	32454	-	E1	29745870.9999964	497.99999999982	16.7418193940221	2487	6.73173276800246
NC_000911.1	sll1406	29968	32454	-	D2	37426642.9999964	642.000000000188	17.1535555566726	2487	6.89728812089769
NC_000911.1	sll1406	29968	32454	-	D1	48998966.0000005	923.000000000001	18.8371321958098	2487	7.57423892071163
NC_000911.1	sll1406	29968	32454	-	B1	52337588.0000009	1051.99999999965	20.1002766883264	2487	8.08213779184817
NC_000911.1	sll1406	29968	32454	-	C1	62053964.0000001	948.99999999985	15.2931406606006	2487	6.14923227205494
NC_000911.1	sll1405	32524	32952	-	A2	1786561.0000003	4.0000000000015	2.23893838497584	429	5.21897059434929
NC_000911.1	sll1405	32524	32952	-	A1	23225586.9999991	61.0000000000081	2.62641370485105	429	6.12217646818428
NC_000911.1	sll1405	32524	32952	-	B2	23262593.9999945	14.9999999999759	0.644812010216033	429	1.50305829887187
NC_000911.1	sll1405	32524	32952	-	C2	26276030.9999999	17.9999999999967	0.685034965897124	429	1.5968181023243
NC_000911.1	sll1405	32524	32952	-	E1	29745870.9999964	23.9999999999934	0.806834669591497	429	1.88073349555128
NC_000911.1	sll1405	32524	32952	-	D2	37426642.9999964	18.0000000000179	0.480940810000502	429	1.12107414918532
NC_000911.1	sll1405	32524	32952	-	D1	48998966.0000005	33.0000000000339	0.673483599634196	429	1.56989184063915
NC_000911.1	sll1405	32524	32952	-	B1	52337588.0000009	57.99999999998	1.10819015962255	429	2.583193845274
NC_000911.1	sll1405	32524	32952	-	C1	62053964.0000001	37.9999999999846	0.612370226662467	429	1.42743642578664
NC_000911.1	sll1404	32912	33544	-	A2	1786561.0000003	9.00000000000338	5.03761136619565	633	7.95831179493783
NC_000911.1	sll1404	32912	33544	-	A1	23225586.9999991	121.999999999965	5.25282740969992	633	8.29830554454964
NC_000911.1	sll1404	32912	33544	-	B2	23262593.9999945	27.99999999999	1.2036490857381	633	1.90149934555782
NC_000911.1	sll1404	32912	33544	-	C2	26276030.9999999	34.9999999999856	1.33201243368855	633	2.10428504532156
NC_000911.1	sll1404	32912	33544	-	E1	29745870.9999964	25.0000000000004	0.84045278082472	633	1.32772951157144
NC_000911.1	sll1404	32912	33544	-	D2	37426642.9999964	42.0000000000537	1.12219522333483	633	1.7728202580329
NC_000911.1	sll1404	32912	33544	-	D1	48998966.0000005	61.0000000000648	1.24492422962689	633	1.96670494411831
NC_000911.1	sll1404	32912	33544	-	B1	52337588.0000009	109.999999999885	2.10173995790335	633	3.32028429368618
NC_000911.1	sll1404	32912	33544	-	C1	62053964.0000001	37.9999999999572	0.612370226662025	633	0.967409520793089
NC_000911.1	sll1401	47007	48017	-	A2	1786561.0000003	45.0000000000169	25.1880568309782	1011	24.9140028001763
NC_000911.1	sll1401	47007	48017	-	A1	23225586.9999991	661.000000000029	28.459991129613	1011	28.1503374180148
NC_000911.1	sll1401	47007	48017	-	B2	23262593.9999945	606.999999999472	26.0933926800947	1011	25.809488308699
NC_000911.1	sll1401	47007	48017	-	C2	26276030.9999999	431.999999999938	16.4408391815316	1011	16.2619576474101
NC_000911.1	sll1401	47007	48017	-	E1	29745870.9999964	650.999999999558	21.8853904126605	1011	21.6472704378442
NC_000911.1	sll1401	47007	48017	-	D2	37426642.9999964	604.000000000101	16.1382360688924	1011	15.9626469524158
NC_000911.1	sll1401	47007	48017	-	D1	48998966.0000005	1051.0000000004	21.4494322186388	1011	21.2160556069622
NC_000911.1	sll1401	47007	48017	-	B1	52337588.0000009	1574.00000000009	30.0739881249412	1011	29.7467736151743
NC_000911.1	sll1401	47007	48017	-	C1	62053964.0000001	1302.99999999998	20.9978527721448	1011	20.7693894877793
NC_000911.1	sll1400	48067	48408	-	A2	1786561.0000003	60.0000000000225	33.5840757746377	342	98.1990519726247
NC_000911.1	sll1400	48067	48408	-	A1	23225586.9999991	1191.00000000005	51.2796511881527	342	149.940500550154
NC_000911.1	sll1400	48067	48408	-	B2	23262593.9999945	1766.99999999897	75.9588548035265	342	222.101914630195
NC_000911.1	sll1400	48067	48408	-	C2	26276030.9999999	1886.99999999845	71.8144989248361	342	209.983914984901
NC_000911.1	sll1400	48067	48408	-	E1	29745870.9999964	1719.00000000013	57.7895332095111	342	168.975243302664
NC_000911.1	sll1400	48067	48408	-	D2	37426642.9999964	1719.99999999964	45.9565662888817	342	134.375924821292
